ticker_raw,ticker_clean,date,close,source_sheet,raw_value,value_status
ABC,ABC,2013-08-22,0.74,2009.2014,0.74,parsed
ABC,ABC,2013-09-05,0.82,2009.2014,0.82,parsed
ABC,ABC,2013-09-20,0.76,2009.2014,0.76,parsed
ABC,ABC,2013-09-27,0.74,2009.2014,0.74,parsed
ABC,ABC,2013-10-17,0.79,2009.2014,0.79,parsed
ABC,ABC,2013-10-23,0.76,2009.2014,0.76,parsed
ABC,ABC,2013-10-28,0.76,2009.2014,0.76,parsed
ABC,ABC,2013-10-31,0.84,2009.2014,0.84,parsed
ABC,ABC,2013-11-01,0.85,2009.2014,0.85,parsed
ABC,ABC,2013-11-05,0.82,2009.2014,0.82,parsed
ABC,ABC,2013-11-27,0.83,2009.2014,0.83,parsed
ABC,ABC,2013-11-29,0.8,2009.2014,0.8,parsed
ABC,ABC,2013-12-06,0.78,2014.1,0.78,parsed
ABC,ABC,2013-12-12,0.81,2014.1,0.81,parsed
ABC,ABC,2013-12-17,0.82,2014.1,0.82,parsed
ABC,ABC,2013-12-23,0.82,2014.1,0.82,parsed
ABC,ABC,2013-12-24,0.82,2014.1,0.82,parsed
ABC,ABC,2013-12-27,0.82,2014.1,0.82,parsed
ABC,ABC,2014-01-02,0.86,2014.1,0.86,parsed
ABC,ABC,2014-01-03,0.94,2014.1,0.94,parsed
ABC,ABC,2014-01-06,1.02,2014.1,1.02,parsed
ABC,ABC,2014-01-07,0.99,2014.1,0.99,parsed
ABC,ABC,2014-01-09,0.95,2014.1,0.95,parsed
ABC,ABC,2014-01-10,0.99,2014.1,0.99,parsed
ABC,ABC,2014-01-15,1.02,2014.1,1.02,parsed
ABC,ABC,2014-01-16,1.05,2014.1,1.05,parsed
ABC,ABC,2014-01-17,1.0,2014.1,1,parsed
ABC,ABC,2014-01-20,1.0,2014.1,1,parsed
ABC,ABC,2014-01-21,1.02,2014.1,1.02,parsed
ABC,ABC,2014-01-22,1.01,2014.1,1.01,parsed
ABC,ABC,2014-01-28,0.98,2014.1,0.98,parsed
ABC,ABC,2014-01-30,0.94,2014.1,0.94,parsed
ABC,ABC,2014-01-31,0.94,2014.1,0.94,parsed
ABC,ABC,2014-02-04,0.96,2014.1,0.96,parsed
ABC,ABC,2014-02-05,0.93,2014.1,0.93,parsed
ABC,ABC,2014-02-11,0.92,2014.1,0.92,parsed
ABC,ABC,2014-02-13,0.92,2014.1,0.92,parsed
ABC,ABC,2014-02-14,0.92,2014.1,0.92,parsed
ABC,ABC,2014-02-17,0.9,2014.1,0.9,parsed
ABC,ABC,2014-02-21,0.87,2014.1,0.87,parsed
ABC,ABC,2014-02-24,0.87,2014.1,0.87,parsed
ABC,ABC,2014-02-27,0.94,2014.1,0.94,parsed
ABC,ABC,2014-03-03,0.96,2014.1,0.96,parsed
ABC,ABC,2014-03-05,0.95,2014.1,0.95,parsed
ABC,ABC,2014-03-06,0.97,2014.1,0.97,parsed
ABC,ABC,2014-03-07,0.97,2014.1,0.97,parsed
ABC,ABC,2014-03-13,0.91,2014.1,0.91,parsed
ABC,ABC,2014-03-18,0.95,2014.1,0.95,parsed
ABC,ABC,2014-03-20,0.93,2014.1,0.93,parsed
ABC,ABC,2014-03-21,0.93,2014.1,0.93,parsed
ABC,ABC,2014-03-24,0.89,2014.1,0.89,parsed
ABC,ABC,2014-03-25,0.9,2014.1,0.9,parsed
ABC,ABC,2014-03-26,0.9,2014.1,0.9,parsed
ABC,ABC,2014-03-27,0.9,2014.1,0.9,parsed
ABC,ABC,2014-04-01,0.89,2014.1,0.89,parsed
ABC,ABC,2014-04-23,0.9,2014.1,0.9,parsed
ABC,ABC,2014-04-25,0.91,2014.1,0.91,parsed
ABC,ABC,2014-04-28,0.87,2014.1,0.87,parsed
ABC,ABC,2014-05-05,0.83,2014.1,0.83,parsed
ABC,ABC,2014-07-04,0.85,2014.1,0.85,parsed
ABC,ABC,2014-07-09,0.88,2014.1,0.88,parsed
ABC,ABC,2014-07-10,0.9,2014.1,0.9,parsed
ABC,ABC,2014-07-11,0.9,2014.1,0.9,parsed
ABC,ABC,2014-07-14,0.86,2014.1,0.86,parsed
ABC,ABC,2014-07-16,0.89,2014.1,0.89,parsed
ABC,ABC,2014-07-17,0.89,2014.1,0.89,parsed
ABC,ABC,2014-07-18,0.88,2014.1,0.88,parsed
ABC,ABC,2014-07-21,0.89,2014.1,0.89,parsed
ABC,ABC,2014-07-23,0.85,2014.1,0.85,parsed
ABC,ABC,2014-07-25,0.87,2014.1,0.87,parsed
ABC,ABC,2014-07-30,0.88,2014.1,0.88,parsed
ABC,ABC,2014-07-31,0.87,2014.1,0.87,parsed
ABC,ABC,2014-08-01,0.85,2014.1,0.85,parsed
ABC,ABC,2014-08-04,0.87,2014.1,0.87,parsed
ABC,ABC,2014-08-05,0.84,2014.1,0.84,parsed
ABC,ABC,2014-08-07,0.86,2014.1,0.86,parsed
ABC,ABC,2014-08-08,0.85,2014.1,0.85,parsed
ABC,ABC,2014-08-13,0.7,2014.1,0.7,parsed
ABC,ABC,2014-08-15,0.7,2014.1,0.7,parsed
ABC,ABC,2014-08-18,0.71,2014.1,0.71,parsed
ABC,ABC,2014-08-19,0.71,2014.1,0.71,parsed
ABC,ABC,2014-08-20,0.71,2014.1,0.71,parsed
ABC,ABC,2014-08-21,0.71,2014.1,0.71,parsed
ABC,ABC,2014-08-22,0.7,2014.1,0.7,parsed
ABC,ABC,2014-08-26,0.71,2014.1,0.71,parsed
ABC,ABC,2014-08-27,0.71,2014.1,0.71,parsed
