ticker_clean,record_count
ACCESS,1297
FIRSTBANK,1295
NB,1282
FCMB,1281
AIICO,1268
FLOURMILL,1267
UBA,1263
DANGSUGAR,1257
CADBURY,1254
JBERGER,1250
FIDELITY,1240
WAPCO,1238
UNILEVER,1232
JAPAUL,1231
DANGCEM,1223
INTERBREW,1220
NEM,1218
CAP,1212
GUINNESS,1211
NAHCO,1207
NEIMETH,1198
UACN,1195
PZ,1190
OKOMU,1186
AFRIPRUD,1174
REDSTAR,1173
UPL,1172
BERGER,1166
PRESCO,1166
OANDO,1145
HONYFLOUR,1144
LIVESTOCK,1144
NASCON,1144
MAYBAKER,1132
FIDSON,1130
TRANSCORP,1127
VITAFOAM,1125
MANSARD,1108
CUTIX,1102
GTB,1100
IKEJAHOTEL,1098
ZENITH,1097
ETERNA,1095
CONOIL,1094
TOTAL,1088
CORNERST,1055
GSK,1039
NESTLE,1022
BUACEM,1015
UCAP,959
FTNCOCOA,936
STERLINGBANK,932
CHAMPION,874
CAVERTON,850
COURTVILLE,847
UPDC,745
NGX,680
LASACO,667
BUAFOODS,641
MTNN,630
ARDOVA,575
CHIPLC,502
UACPROP,389
ABC,332
INTERENG,312
CHAMS,301
ASHAKA,267
DANGFLOUR,222
UBACAPITAL,213
MECURE,207
CCNN,202
OMATEK,199
MULTIVERSEMINING,197
FORTEOIL,179
PORTLANPAINT,172
VERITASCAP,169
MCNICHOLS,166
TRANSPOWER,135
WAPIC,132
RTBRISCOE,131
COSTAIN,119
AIRSERVICE,117
EVANSMED,112
ETI,110
TIP,93
INTERCONT,89
BETAGLASS,82
ECOBANK,78
BCC,69
MRS,67
PAINTCOM,43
UTC,41
STACO,38
BAGCO,37
WEMA,36
IPWA,33
TRANSEXPRE,32
UNIONDICON,31
VONO,29
IHS,21
ARADEL,19
FIRSTALUM,18
ADSWITCH,17
AFPRINT,17
UNTL,17
JULI,15
NIWIRE,15
NIEMETH,14
ABPLAST,12
UNIONHOMES,8
NIROPES,7
