ticker_clean,date,close,daily_return_raw,daily_return_clean,rolling_30d_volatility_clean
ETI,2019-01-03,14.0,-0.23287671232876717,-0.2,0.04499385720836263
ECOBANK,2011-11-01,1.98,-0.33999999999999997,-0.2,0.10346074677349795
STACO,2010-05-18,0.5,-0.2063492063492064,-0.2,0.09260334565755161
NIEMETH,2008-06-20,9.68,-0.21492295214922952,-0.2,0.11093593906005418
UNIONHOMES,2008-06-20,5.98,-0.24968632371392718,-0.2,0.08866933348920729
FIRSTALUM,2008-06-20,5.41,-0.19613670133729577,-0.19613670133729577,0.1542993520122064
IPWA,2014-07-10,0.5,-0.180327868852459,-0.180327868852459,0.049355400326516294
BETAGLASS,2019-05-03,56.0,-0.18008784773060027,-0.18008784773060027,0.05645543369275919
AFPRINT,2008-06-20,5.7,-0.1654465592972182,-0.1654465592972182,0.13198309158875315
UTC,2013-03-01,0.78,-0.10344827586206895,-0.10344827586206895,0.07412156149929074
